site,id,event,event_code,year,first_yes_doy,tag
HARV,NEON.PLA.D01.HARV.06017,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06017,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06094,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06094,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06094,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06049,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06049,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06049,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06050,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06050,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06050,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06087,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06085,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06091,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06037,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06037,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06037,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06062,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06006,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06006,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06006,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06031,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06031,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06031,colored_leaf,4,2013,235,training
HARV,NEON.PLA.D01.HARV.06014,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06014,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06014,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06010,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06010,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06010,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06082,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06020,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06020,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06020,colored_leaf,4,2013,256,training
HARV,NEON.PLA.D01.HARV.06032,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06032,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06032,colored_leaf,4,2013,235,training
HARV,NEON.PLA.D01.HARV.06022,fallen_leaf,5,2013,267,training
HARV,NEON.PLA.D01.HARV.06022,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06022,colored_leaf,4,2013,256,training
HARV,NEON.PLA.D01.HARV.06079,full_leaf,3,2013,256,validation_spatial
HARV,NEON.PLA.D01.HARV.06068,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06009,fallen_leaf,5,2013,291,training
HARV,NEON.PLA.D01.HARV.06009,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06009,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06003,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06003,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06003,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06013,fallen_leaf,5,2013,291,training
HARV,NEON.PLA.D01.HARV.06013,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06013,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06004,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06004,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06004,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06028,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06028,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06028,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06027,fallen_leaf,5,2013,262,training
HARV,NEON.PLA.D01.HARV.06027,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06027,colored_leaf,4,2013,235,training
HARV,NEON.PLA.D01.HARV.06047,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06047,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06047,colored_leaf,4,2013,235,training
HARV,NEON.PLA.D01.HARV.06053,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06053,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06053,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06088,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06056,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06056,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06056,colored_leaf,4,2013,256,training
HARV,NEON.PLA.D01.HARV.06057,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06057,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06057,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06073,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06048,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06048,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06048,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06078,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06051,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06051,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06051,colored_leaf,4,2013,256,training
HARV,NEON.PLA.D01.HARV.06042,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06042,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06042,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06015,fallen_leaf,5,2013,262,training
HARV,NEON.PLA.D01.HARV.06015,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06015,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06058,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06058,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06058,colored_leaf,4,2013,235,training
HARV,NEON.PLA.D01.HARV.06083,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06054,fallen_leaf,5,2013,267,training
HARV,NEON.PLA.D01.HARV.06054,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06054,colored_leaf,4,2013,235,training
HARV,NEON.PLA.D01.HARV.06038,fallen_leaf,5,2013,248,training
HARV,NEON.PLA.D01.HARV.06038,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06038,colored_leaf,4,2013,235,training
HARV,NEON.PLA.D01.HARV.06064,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06043,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06043,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06043,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06061,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06061,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06061,colored_leaf,4,2013,256,training
HARV,NEON.PLA.D01.HARV.06060,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06060,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06060,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06044,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06044,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06044,colored_leaf,4,2013,256,training
HARV,NEON.PLA.D01.HARV.06067,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06089,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06065,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06059,fallen_leaf,5,2013,262,training
HARV,NEON.PLA.D01.HARV.06059,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06059,colored_leaf,4,2013,235,training
HARV,NEON.PLA.D01.HARV.06090,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06052,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06052,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06052,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06063,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06019,fallen_leaf,5,2013,262,training
HARV,NEON.PLA.D01.HARV.06019,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06019,colored_leaf,4,2013,256,training
HARV,NEON.PLA.D01.HARV.06007,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06007,young_leaf,2,2014,125,training
HARV,NEON.PLA.D01.HARV.06007,fallen_leaf,5,2014,218,training
HARV,NEON.PLA.D01.HARV.06007,full_leaf,3,2014,141,training
HARV,NEON.PLA.D01.HARV.06007,colored_leaf,4,2014,218,training
HARV,NEON.PLA.D01.HARV.06001,first_leaf,1,2014,122,training
HARV,NEON.PLA.D01.HARV.06001,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06001,fallen_leaf,5,2014,218,training
HARV,NEON.PLA.D01.HARV.06001,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06001,colored_leaf,4,2014,223,training
HARV,NEON.PLA.D01.HARV.06071,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06071,full_leaf,3,2014,132,training
HARV,NEON.PLA.D01.HARV.06018,first_leaf,1,2014,122,training
HARV,NEON.PLA.D01.HARV.06018,young_leaf,2,2014,127,training
HARV,NEON.PLA.D01.HARV.06018,fallen_leaf,5,2014,245,training
HARV,NEON.PLA.D01.HARV.06018,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06018,colored_leaf,4,2014,245,training
HARV,NEON.PLA.D01.HARV.06074,first_leaf,1,2014,118,training
HARV,NEON.PLA.D01.HARV.06074,full_leaf,3,2014,134,training
HARV,NEON.PLA.D01.HARV.06080,first_leaf,1,2014,118,training
HARV,NEON.PLA.D01.HARV.06080,full_leaf,3,2014,136,training
HARV,NEON.PLA.D01.HARV.06075,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06077,first_leaf,1,2014,120,training
HARV,NEON.PLA.D01.HARV.06077,full_leaf,3,2014,136,training
HARV,NEON.PLA.D01.HARV.06026,first_leaf,1,2014,125,training
HARV,NEON.PLA.D01.HARV.06026,young_leaf,2,2014,132,training
HARV,NEON.PLA.D01.HARV.06026,fallen_leaf,5,2014,273,training
HARV,NEON.PLA.D01.HARV.06026,full_leaf,3,2014,143,training
HARV,NEON.PLA.D01.HARV.06026,colored_leaf,4,2014,245,training
HARV,NEON.PLA.D01.HARV.06002,first_leaf,1,2014,132,training
HARV,NEON.PLA.D01.HARV.06002,young_leaf,2,2014,136,training
HARV,NEON.PLA.D01.HARV.06002,fallen_leaf,5,2014,282,training
HARV,NEON.PLA.D01.HARV.06002,full_leaf,3,2014,147,training
HARV,NEON.PLA.D01.HARV.06002,colored_leaf,4,2014,266,training
HARV,NEON.PLA.D01.HARV.06011,first_leaf,1,2014,127,training
HARV,NEON.PLA.D01.HARV.06011,young_leaf,2,2014,129,training
HARV,NEON.PLA.D01.HARV.06011,fallen_leaf,5,2014,266,training
HARV,NEON.PLA.D01.HARV.06011,full_leaf,3,2014,143,training
