site,date,evi,tag
HARV,2005-10-24,0.4031,training
SJER,2005-10-24,0.2056,training
HARV,2005-11-09,0.3013,training
SJER,2005-11-09,0.2014,training
HARV,2005-11-25,0.31020000000000003,training
SJER,2005-11-25,0.188,training
SJER,2005-12-11,0.2857,training
HARV,2005-12-27,0.3859,training
SJER,2005-12-27,0.28800000000000003,training
HARV,2006-01-09,0.26330000000000003,training
SJER,2006-01-09,0.3797,training
HARV,2006-01-25,0.2654,training
SJER,2006-01-25,0.3807,training
HARV,2006-02-10,0.2072,training
SJER,2006-02-10,0.3657,training
HARV,2006-02-26,0.27490000000000003,training
SJER,2006-02-26,0.4109,training
HARV,2006-03-14,0.2647,training
SJER,2006-03-14,0.376,training
HARV,2006-03-30,0.25270000000000004,training
SJER,2006-03-30,0.4545,training
HARV,2006-04-15,0.27690000000000003,training
SJER,2006-04-15,0.4235,training
HARV,2006-05-01,0.30110000000000003,training
SJER,2006-05-01,0.4182,training
HARV,2006-05-17,0.5348,training
SJER,2006-05-17,0.3552,training
HARV,2006-06-02,0.6278,training
SJER,2006-06-02,0.2425,training
HARV,2006-06-18,0.6906,training
SJER,2006-06-18,0.2199,training
HARV,2006-07-04,0.6777000000000001,training
SJER,2006-07-04,0.2081,training
HARV,2006-07-20,0.6202000000000001,training
SJER,2006-07-20,0.2027,training
HARV,2006-08-05,0.6589,training
SJER,2006-08-05,0.201,training
HARV,2006-08-21,0.549,training
SJER,2006-08-21,0.1899,training
HARV,2006-09-06,0.5424,training
SJER,2006-09-06,0.1989,training
HARV,2006-09-22,0.5082,training
SJER,2006-09-22,0.2164,training
HARV,2006-10-08,0.4477,training
SJER,2006-10-08,0.2202,training
HARV,2006-10-24,0.27990000000000004,training
SJER,2006-10-24,0.1784,training
HARV,2006-11-09,0.33890000000000003,training
SJER,2006-11-09,0.2183,training
HARV,2006-11-25,0.2226,training
SJER,2006-11-25,0.1981,training
HARV,2006-12-11,0.2429,training
SJER,2006-12-11,0.25370000000000004,training
HARV,2006-12-27,0.2439,training
SJER,2006-12-27,0.3129,training
HARV,2007-01-09,0.2948,training
SJER,2007-01-09,0.3094,training
SJER,2007-01-25,0.2599,training
HARV,2007-02-10,0.1847,training
SJER,2007-02-10,0.3648,training
SJER,2007-02-26,0.4638000000000001,training
HARV,2007-03-14,0.2103,training
SJER,2007-03-14,0.4921,training
HARV,2007-03-30,0.2937,training
SJER,2007-03-30,0.4156,training
HARV,2007-04-15,0.2056,training
SJER,2007-04-15,0.3538,training
HARV,2007-05-01,0.4287,training
SJER,2007-05-01,0.2139,training
HARV,2007-05-17,0.7187,training
SJER,2007-05-17,0.2083,training
HARV,2007-06-02,0.684,training
SJER,2007-06-02,0.2001,training
HARV,2007-06-18,0.7053,training
SJER,2007-06-18,0.2039,training
HARV,2007-07-04,0.7194,training
SJER,2007-07-04,0.1961,training
HARV,2007-07-20,0.6792,training
SJER,2007-07-20,0.1928,training
HARV,2007-08-05,0.6123000000000001,training
SJER,2007-08-05,0.1887,training
HARV,2007-08-21,0.6101,training
SJER,2007-08-21,0.2022,training
HARV,2007-09-06,0.6368,training
SJER,2007-09-06,0.1996,training
HARV,2007-09-22,0.6206,training
SJER,2007-09-22,0.2077,training
HARV,2007-10-08,0.394,training
SJER,2007-10-08,0.1966,training
HARV,2007-10-24,0.3995,training
SJER,2007-10-24,0.1965,training
HARV,2007-11-09,0.2671,training
SJER,2007-11-09,0.1979,training
HARV,2007-11-25,0.2718,training
SJER,2007-11-25,0.203,training
HARV,2007-12-11,0.0567,training
SJER,2007-12-11,0.242,training
HARV,2007-12-27,0.2472,training
SJER,2007-12-27,0.2627,training
HARV,2008-01-09,0.2857,training
SJER,2008-01-09,0.3322,training
HARV,2008-01-25,0.1653,training
SJER,2008-01-25,0.3914,training
HARV,2008-02-10,0.171,training
SJER,2008-02-10,0.3683,training
HARV,2008-02-26,0.1763,training
SJER,2008-02-26,0.3582,training
HARV,2008-03-13,0.2851,training
SJER,2008-03-13,0.3902,training
HARV,2008-03-29,0.299,training
SJER,2008-03-29,0.368,training
HARV,2008-04-14,0.25,training
SJER,2008-04-14,0.32830000000000004,training
HARV,2008-04-30,0.4094,training
SJER,2008-04-30,0.2686,training
HARV,2008-05-16,0.6546000000000001,training
SJER,2008-05-16,0.24,training
HARV,2008-06-01,0.6766,training
SJER,2008-06-01,0.2078,training
HARV,2008-06-17,0.7349,training
SJER,2008-06-17,0.2252,training
HARV,2008-07-03,0.7298,training
SJER,2008-07-03,0.2046,training
HARV,2008-07-19,0.5955,training
SJER,2008-07-19,0.2127,training
HARV,2008-08-04,0.6743,training
SJER,2008-08-04,0.1992,training
HARV,2008-08-20,0.687,training
SJER,2008-08-20,0.191,training
HARV,2008-09-05,0.5976,training
SJER,2008-09-05,0.1911,training
HARV,2008-09-21,0.612,training
SJER,2008-09-21,0.1897,training
HARV,2008-10-07,0.5308,training
SJER,2008-10-07,0.2149,training
HARV,2008-10-23,0.3618,training
SJER,2008-10-23,0.2379,training
HARV,2008-11-08,0.3546,training
SJER,2008-11-08,0.2896,training
HARV,2008-11-24,0.3543,training
SJER,2008-11-24,0.3979,training
SJER,2008-12-10,0.4421000000000001,training
HARV,2008-12-26,0.3019,training
SJER,2008-12-26,0.4163,training
SJER,2009-01-09,0.3996,training
HARV,2009-01-25,0.1536,training
SJER,2009-01-25,0.4414,training
HARV,2009-02-10,0.1658,training
SJER,2009-02-10,0.4757,training
HARV,2009-02-26,0.34800000000000003,training
SJER,2009-02-26,0.4668000000000001,training
HARV,2009-03-14,0.2352,training
SJER,2009-03-14,0.4535,training
HARV,2009-03-30,0.2657,training
SJER,2009-03-30,0.4617,training
HARV,2009-04-15,0.2315,training
SJER,2009-04-15,0.3757,training
HARV,2009-05-01,0.4275000000000001,training
SJER,2009-05-01,0.2641,training
HARV,2009-05-17,0.6593,training
SJER,2009-05-17,0.2197,training
HARV,2009-06-02,0.6621,training
SJER,2009-06-02,0.2286,training
HARV,2009-06-18,0.644,training
SJER,2009-06-18,0.2087,training
HARV,2009-07-04,0.7258,training
SJER,2009-07-04,0.2103,training
HARV,2009-07-20,0.6436000000000001,training
SJER,2009-07-20,0.2093,training
HARV,2009-08-05,0.6168,training
SJER,2009-08-05,0.1976,training
HARV,2009-08-21,0.5657,training
SJER,2009-08-21,0.2042,training
HARV,2009-09-06,0.5681,training
SJER,2009-09-06,0.2024,training
HARV,2009-09-22,0.525,training
SJER,2009-09-22,0.2068,training
HARV,2009-10-08,0.343,training
SJER,2009-10-08,0.2456,training
HARV,2009-10-24,0.2922,training
SJER,2009-10-24,0.3311,training
HARV,2009-11-09,0.2786,training
SJER,2009-11-09,0.34690000000000004,training
HARV,2009-11-25,0.2452,training
SJER,2009-11-25,0.32880000000000004,training
HARV,2009-12-11,0.4641,training
SJER,2009-12-11,0.33840000000000003,training
SJER,2009-12-27,0.395,training
HARV,2010-01-09,0.1633,training
SJER,2010-01-09,0.378,training
HARV,2010-01-25,0.1297,training
SJER,2010-01-25,0.4277,training
HARV,2010-02-10,0.1829,training
SJER,2010-02-10,0.4236,training
HARV,2010-02-26,0.25320000000000004,training
SJER,2010-02-26,0.3697,training
HARV,2010-03-14,0.2543,training
SJER,2010-03-14,0.3724,training
HARV,2010-03-30,0.28850000000000003,training
SJER,2010-03-30,0.4507000000000001,training
HARV,2010-04-15,0.3478,training
SJER,2010-04-15,0.3858,training
HARV,2010-05-01,0.5141,training
SJER,2010-05-01,0.3393,training
HARV,2010-05-17,0.6601,training
SJER,2010-05-17,0.2833,training
HARV,2010-06-02,0.6748000000000001,training
SJER,2010-06-02,0.2349,training
HARV,2010-06-18,0.6175,training
SJER,2010-06-18,0.2198,training
HARV,2010-07-04,0.6106,training
SJER,2010-07-04,0.2122,training
HARV,2010-07-20,0.6611,training
SJER,2010-07-20,0.2073,training
HARV,2010-08-05,0.6275000000000001,training
SJER,2010-08-05,0.2053,training
HARV,2010-08-21,0.6193000000000001,training
SJER,2010-08-21,0.1964,training
HARV,2010-09-06,0.6256,training
SJER,2010-09-06,0.2036,training
HARV,2010-09-22,0.5731,training
SJER,2010-09-22,0.1974,training
HARV,2010-10-08,0.4994,training
SJER,2010-10-08,0.2248,training
HARV,2010-10-24,0.3105,training
